random06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
Hor
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.3651960784313726,0.6845637760591973,,1.0,8.742464994972677e-17,0.0,
8,0.1825980392156863,0.7303927109082697,,1.0,3.4090240518014397e-17,1.1325874585333716e-16,
16,0.09129901960784315,0.6845640944672089,,1.0,1.3692788784282843e-17,1.1952045919813044e-16,
32,0.04564950980392157,0.7303944967006604,,1.0,8.167306562697795e-18,0.0,
64,0.022824754901960786,0.684564499671596,,1.0,3.399416327498831e-18,7.282804474612601e-17,
128,0.011412377450980393,0.7304060130595913,,1.0,1.8557091699731163e-18,1.3233790559385338e-16,
""
""
""
Ver
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.17114093959731544,0.6845637760591973,,1.0,4.721470724777125e-17,0.0,
8,0.08557046979865772,0.7303927109082697,,1.0,1.7986151494818147e-17,1.1325874585333716e-16,
16,0.04278523489932886,0.6845640944672089,,1.0,8.456653177274278e-18,1.1952045919813044e-16,
32,0.02139261744966443,0.7303944967006604,,1.0,3.501703799819497e-18,0.0,
64,0.010696308724832215,0.684564499671596,,1.0,2.4899478425007408e-18,7.282804474612601e-17,
128,0.0053481543624161075,0.7304060130595913,,1.0,1.1630534348152476e-18,1.3233790559385338e-16,
""
""
""
HighestScatter
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.5638608639624989,0.6845637760591973,,1.0,0.4025266657948465,0.0,
8,0.6243605365502526,0.7303927109082697,,1.0,0.22584782697664055,1.1325874585333716e-16,
16,0.6275673770558012,0.6845640944672089,,1.0,0.09534156320166458,1.1952045919813044e-16,
32,0.6274735140972084,0.7303944967006604,,1.0,0.07848779657193387,0.0,
64,0.5926415114014324,0.684564499671596,,1.0,0.05252704574399899,7.282804474612601e-17,
128,0.6241103497449113,0.7304060130595913,,1.0,0.049371371180371354,1.3233790559385338e-16,
""
""
""
MostValuableMargin
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.5136473762883591,0.6845637760591973,,1.0,0.45140189988024093,0.0,
8,0.5710510137841216,0.7303927109082697,,1.0,0.2967490244901393,1.1325874585333716e-16,
16,0.5812662709711697,0.6845640944672089,,1.0,0.12480971394508457,1.1952045919813044e-16,
32,0.5916890807527634,0.7303944967006604,,1.0,0.10147548351640388,0.0,
64,0.5589121665899844,0.684564499671596,,1.0,0.06482042989522252,7.282804474612601e-17,
128,0.5731585385885556,0.7304060130595913,,1.0,0.04755985162477979,1.3233790559385338e-16,
""
""
""
LargestMargin
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.5878699885008005,0.6845637760591973,,1.0,0.36598102943021127,0.0,
8,0.632631984326626,0.7303927109082697,,1.0,0.22838900230968287,1.1325874585333716e-16,
16,0.6364411750013489,0.6845640944672089,,1.0,0.09764952640466575,1.1952045919813044e-16,
32,0.6359724511156795,0.7303944967006604,,1.0,0.09819714475502701,0.0,
64,0.6018148754095985,0.684564499671596,,1.0,0.06379326917489994,7.282804474612601e-17,
128,0.627119975145249,0.7304060130595913,,1.0,0.05926171816783432,1.3233790559385338e-16,
""
""
""
VerHor
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.6905773470347087,0.6845637760591973,,1.0,0.015759388363489987,0.0,
8,0.3452068686694224,0.7303927109082697,,1.0,0.004757086552349593,1.1325874585333716e-16,
16,0.6959009013071111,0.6845640944672089,,1.0,0.008480689392706983,1.1952045919813044e-16,
32,0.3471927186750353,0.7303944967006604,,1.0,0.0033544961816513656,0.0,
64,0.6937689523741567,0.684564499671596,,1.0,0.006772766005149749,7.282804474612601e-17,
128,0.34541320117441626,0.7304060130595913,,1.0,0.0021723899728552753,1.3233790559385338e-16,
""
""
""
HorVer
NumberOfAgents,EvenPaz,Assessor,EvenPazTTC,Selling,EvenPaz_Conf,As_Conf,EvenPazTTC_Conf
4,0.6868529938971847,0.6845637760591973,,1.0,0.007012653267931597,0.0,
