4,agents
Measure,Avg,stdev
egalitarianGain,1.0587743822401892,0.03273305487287933
ttc_egalitarianGain,1.0589116668603697,0.03261331234452425
ttc_utilitarianGain,1.1078905408799324,0.04091513733509404
utilitarianGain,1.1078390030516032,0.040996850044569655
averageFaceRatio,0.5582461230988855,0.005989221287324642
smallestFaceRatio,0.2617965664444313,0.0035352819749538767
largestEnvy,1.0117274704502186,0.023409817002967202
ttc_largestEnvy,1.0115361931082263,0.023486736884040692
experimentDurationSec,0.0533014976978302,0.009714955158190201

8,agents
Measure,Avg,stdev
egalitarianGain,1.067869378978127,0.025483910773467972
ttc_egalitarianGain,1.0700867045491684,0.02535695516549002
ttc_utilitarianGain,1.151655968639291,0.03525383055291516
utilitarianGain,1.1507378557875498,0.03607880283202216
averageFaceRatio,0.4246858160986505,0.01146493338407268
smallestFaceRatio,0.15471851681452384,0.013055309234188213
largestEnvy,1.0258011646695488,0.02527521798968823
ttc_largestEnvy,1.0241601669039724,0.02512514187706498
experimentDurationSec,0.012789794132113457,0.0017387791453531577

