4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.054554737213168565,0.047210637334163884,0.019676561650755733,0.054554737213168565,0.047210637334163884,0.019676561650755733
LastDiminisher_Hor,0.05157472797537427,0.04459330213435257,0.0224610985258332,0.05157472797537427,0.04459330213435257,0.0224610985258332
LastDiminisher_SmallestPiece,0.05438900616861245,0.04706976776762128,0.019851540817523456,0.05438900616861245,0.04706976776762128,0.019851540817523456
LastDiminisher_Ver,0.05431017926584905,0.04699491640494931,0.020201514196447227,0.05431017926584905,0.04699491640494931,0.020201514196447227
LastDiminisher_LargestMargin,0.031241717314340375,0.027026909688224764,0.0188392050122033,0.031241717314340375,0.027026909688224764,0.0188392050122033
LastDiminisher_VerHor,0.037910032117072154,0.03280241768940902,0.01976885417141029,0.037910032117072154,0.03280241768940902,0.01976885417141029
LastDiminisher_HorVer,0.047346793885853396,0.04087726719885528,0.023175773031922788,0.047346793885853396,0.04087726719885528,0.023175773031922788
LastDiminisher_MostValuableMargin,0.031468529368608104,0.027182596430322302,0.018784054390045164,0.031468529368608104,0.027182596430322302,0.018784054390045164
LastDiminisher_SquarePiece,0.037468270408627366,0.03243417996961845,0.019787167502162053,0.037468270408627366,0.03243417996961845,0.019787167502162053
LastDiminisher_HighestScatter,0.03467205933640937,0.029950546242303283,0.018392892715729765,0.03467205933640937,0.029950546242303283,0.018392892715729765

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
LastDiminisher_SmallestHalfCut,0.0770841920489579,0.0637886669319577,0.014817596567851565,0.0770841920489579,0.0637886669319577,0.014817596567851565
LastDiminisher_Hor,0.08075833760859233,0.06688579877268767,0.01675274153593793,0.08075833760859233,0.06688579877268767,0.01675274153593793
