random06_2020-06-30T17-18-48_NoiseProportion_0.6_50_exp.json
FOCS,egalitarianGain_Avg
,4,8,16,32,64,128
FOCSEV,1.0004242885846228,1.000747152160676,1.001206982367404,1.0019159278393477,1.0029157099151857,1.004321010666667
FOCSUV,1.0004047348466116,1.0006491145830871,1.0009783432110209,1.0015109237774718,1.0021678415056576,1.002869476745859
FOCSLE,1.0002870670362187,1.0004983339945746,1.0006796367559003,1.0010388140359856,1.0015359124245817,1.001958017021457
FOCSAFR,1.0002331260184467,1.0003883529642827,1.0005802409875189,1.0008284627651725,1.0011287952500763,1.0016191564690058
FOCSSFR,1.0002471925189704,1.0003706913866428,1.000576408723122,1.000844448221646,1.0012653387087622,1.001602469491121
""
""
FOCS,ttc_egalitarianGain_Avg
,4,8,16,32,64,128
FOCSEV,1.0004242885846228,1.000756032888066,1.0012271272961906,1.0019613448664193,1.0029967087201153,1.0044470433913855
FOCSUV,1.0004047348466116,1.0006887205568233,1.0010539278397388,1.001590933313868,1.0023656051362742,1.0033487549724487
FOCSLE,1.0002884835047818,1.0005348923262243,1.000756748897628,1.00127823049456,1.0018288475126171,1.0025929983375188
FOCSAFR,1.0002516262728118,1.000441153647151,1.0007004237742465,1.0010298487582658,1.0014167767563698,1.002184921658646
FOCSSFR,1.0002541117398005,1.0004073411310506,1.000658289231407,1.00111886095695,1.0016244800591971,1.0022865764189834
""
""
FOCS,ttc_utilitarianGain_Avg
,4,8,16,32,64,128
FOCSEV,1.0006377600390055,1.001210032626215,1.0020038705104612,1.0032989057005826,1.0051713903176103,1.0081177365451623
FOCSUV,1.0006502910700503,1.001273639380364,1.0020833766723214,1.0033908439567338,1.005321419806203,1.008247966641505
FOCSLE,1.0005241389895663,1.0010738380135757,1.0017814759713364,1.0030733437340127,1.004941918353477,1.007889002115878
FOCSAFR,1.000485411844936,1.0009781443571146,1.001774929222981,1.002984481556456,1.004839611657521,1.0077172896053297
FOCSSFR,1.0004906783059204,1.0009519991985116,1.001757514392741,1.0030060460888992,1.0048838972188714,1.0077880160665027
""
""
FOCS,utilitarianGain_Avg
,4,8,16,32,64,128
FOCSEV,1.0006343794524557,1.001183161138186,1.0019181885962392,1.0030446712360144,1.0045420056789935,1.0067179702413804
FOCSUV,1.0006502910700503,1.0012349780495082,1.002023803107317,1.0032371057804679,1.004860218109913,1.0071914373862403
FOCSLE,1.0005232023353368,1.001037806280834,1.0016442643865702,1.0026976123827704,1.004002704635089,1.0058862902174426
FOCSAFR,1.0004579011143697,1.0008868391590975,1.0015305019076184,1.002376428735489,1.0036526806513186,1.0053598052782091
FOCSSFR,1.0004714539971806,1.000873570616163,1.0015233191995192,1.0023995373964374,1.003662286716292,1.005412866233638
""
""
FOCS,averageFaceRatio_Avg
,4,8,16,32,64,128
FOCSEV,0.4591427688659336,0.40716022364687715,0.37990273534117697,0.38302869171066717,0.3548576757669594,0.3394034761114336
FOCSUV,0.4411122568122106,0.3948288189565012,0.36206167231295117,0.35424218521775475,0.31105001045486025,0.30383709071469606
FOCSLE,0.43812082409049585,0.3674152237354793,0.35808597950447957,0.3289920567541499,0.33125477877199466,0.3343219195157628
FOCSAFR,0.6845638581556679,0.7303927921240122,0.6845658309030543,0.7303956923141417,0.684574285600805,0.7304113365015777
FOCSSFR,0.6845638193688954,0.7303924566574506,0.6845647209080807,0.7303939318642807,0.6845692859831456,0.7303980056472861
""
""
FOCS,smallestFaceRatio_Avg
,4,8,16,32,64,128
FOCSEV,0.35262660896895504,0.20310512522646795,0.10823777755612521,0.07283193406931374,0.04444963023723637,0.025181034770111663
FOCSUV,0.3204546154451472,0.1965944519880454,0.09570566552500791,0.06618410053719816,0.03190730826354516,0.016467735877270143
FOCSLE,0.4378906025654747,0.2909206977637908,0.18893084147548606,0.09423292550658424,0.05248741036638491,0.031449119752418195
FOCSAFR,0.684167446292704,0.7290325539281062,0.6820145230168314,0.7264891315720554,0.6784683532699763,0.7199493889994336
FOCSSFR,0.684265635307291,0.7292420834051182,0.6831157574223541,0.7279490328457462,0.680402335386358,0.724693552144274
""
""
FOCS,largestEnvy_Avg
,4,8,16,32,64,128
FOCSEV,1.000205653974865,1.0007435385767691,1.0019830378743655,1.0037421530025774,1.0065387485022639,1.0104977955549843
FOCSUV,1.0002158686988334,1.0007104161605431,1.0018347548755722,1.0035280036225454,1.0063889902807552,1.010566837776154
FOCSLE,1.0001434897025105,1.0006817232690064,1.0017509262302446,1.0034129959504883,1.0063432476191483,1.010055250717341
FOCSAFR,1.0003353465459366,1.0010834410953784,1.002430397499636,1.0046755623920887,1.0078218299936872,1.012744513176973
FOCSSFR,1.0003535714581528,1.0011770514812077,1.0024084027103304,1.0045074283275819,1.0073717269725189,1.0118540392984576
""
""
FOCS,ttc_largestEnvy_Avg
,4,8,16,32,64,128
FOCSEV,1.0001998173411957,1.0006735942296225,1.0019125492908418,1.0035250723249902,1.0062680547956995,1.0098107508109258
FOCSUV,1.0002158686988334,1.0006081910547033,1.0018026891633849,1.0032883391092693,1.006140832893229,1.0098421056125795
FOCSLE,1.0001411606240196,1.0006219720037868,1.001676698940476,1.003190547093841,1.005986538046976,1.0091323172195814
FOCSAFR,1.0003023461614238,1.0009794459471866,1.0022703507605333,1.0043002478020617,1.0071400704384972,1.0117008719336968
FOCSSFR,1.0003111053102698,1.001084162504372,1.0022425431639475,1.004110530968032,1.0065927002839103,1.0106898233263557
""
""
FOCS,experimentDurationSec_Avg
,4,8,16,32,64,128
