tlvRealEstate06_2020-05-30T19-08-55_NoiseProportion_0.6_50_exp.json
HighestBidder
NumberOfAgents,HighestBidder,Assessor,HighestBidderTTC,Selling,HighestBidder_Conf,As_Conf,HighestBidderTTC_Conf
4,0,1.5061273890129907,0,1.0,0.0,0.4658662335136141,0.0
8,0,1.6963837341308745,0,1.0,0.0,0.08413973191517032,0.0
16,0,1.777345687675099,0,1.0,0.0,0.033293546759873886,0.0
32,0,1.8469422776368167,0,1.0,0.0,0.023036490592856753,0.0
64,0,1.8905491345613101,0,1.0,0.0,0.018985497948678366,0.0
128,0,1.9247862290543258,0,1.0,0.0,0.0103525610010683,0.0
""
""
""
