tlvRealEstate06_2020-05-30T19-08-55_NoiseProportion_0.6_50_exp.json
HighestBidder
NumberOfAgents,HighestBidder,Assessor,HighestBidderTTC,Selling,HighestBidder_Conf,As_Conf,HighestBidderTTC_Conf
4,0,0.7935668796805543,,1.0,0.0,0.0,
8,0,0.6278730560333143,,1.0,0.0,0.0,
16,0,0.5264340298302252,,1.0,0.0,9.902181684145217e-17,
32,0,0.5131153036654346,,1.0,0.0,6.861910031938191e-17,
64,0,0.4508211729718222,,1.0,0.0,2.7356455444358685e-17,
128,0,0.5445622104557837,,1.0,0.0,3.106929628498022e-17,
""
""
""
