newZealandLowRes06HS_2020-06-15T00-51-47_NoiseProportion_0.6_50_exp.json
LastDiminisher,egalitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Ver,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000004
HighestScatter,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
MostValuableMargin,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
LargestMargin,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
VerHor,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000004
HorVer,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestPiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SquarePiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestHalfCut,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
""
""
LastDiminisher,ttc_egalitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Ver,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000004
HighestScatter,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
MostValuableMargin,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
LargestMargin,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
VerHor,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000004
HorVer,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestPiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SquarePiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestHalfCut,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
""
""
LastDiminisher,ttc_utilitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0991023987781727,1.1321312480536914,1.142804251069545,1.1354519967996746,1.1443457254298839,1.147709253674457
Ver,1.0661116283373504,1.0905686455916992,1.115026203073471,1.1133205604324246,1.1252099249081544,1.1300687290210407
HighestScatter,1.1053039818985875,1.1363636689369474,1.1534186807544533,1.1496909167772478,1.1604670651359656,1.1596446120716237
MostValuableMargin,1.1049262771825121,1.1348560753186518,1.150550355950303,1.1479196095822342,1.1592458466511852,1.1638323195846876
LargestMargin,1.1028494138251232,1.1301269570048298,1.1452299302769278,1.1405115812159723,1.1525219120830708,1.1546159472267008
VerHor,1.084614727802482,1.111666010159748,1.1359787637782415,1.1338914100736899,1.146246666304632,1.1485736685570367
HorVer,1.094223841996687,1.1213635287706154,1.1419707307226683,1.1381581045306728,1.147756943163744,1.1499860689850194
SmallestPiece,1.0991422377590778,1.1321461229716576,1.1428123648954711,1.135444124884809,1.1443450615171906,1.1477100353982495
SquarePiece,1.0991830607963902,1.1322292898622133,1.1427680579922772,1.1354452016524803,1.1446821821527187,1.1479434611600239
SmallestHalfCut,1.0992086699883012,1.1321299405631928,1.1432555676133247,1.1380514053545998,1.148936452232,1.1532056107562416
""
""
LastDiminisher,utilitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0991023987781727,1.1321312480536914,1.142804251069545,1.1354519967996746,1.1443457254298839,1.147709253674457
Ver,1.0661116283373504,1.0905686455916992,1.115026203073471,1.1133205604324246,1.1252099249081544,1.1300687290210407
HighestScatter,1.1053039818985875,1.1363636689369474,1.1534186807544533,1.1496909167772478,1.1604670651359656,1.1596446120716237
MostValuableMargin,1.1049262771825121,1.1348560753186518,1.150550355950303,1.1479196095822342,1.1592458466511852,1.1638323195846876
LargestMargin,1.1028494138251232,1.1301269570048298,1.1452299302769278,1.1405115812159723,1.1525219120830708,1.1546159472267008
VerHor,1.084614727802482,1.111666010159748,1.1359787637782415,1.1338914100736899,1.146246666304632,1.1485736685570367
HorVer,1.094223841996687,1.1213635287706154,1.1419707307226683,1.1381581045306728,1.147756943163744,1.1499860689850194
SmallestPiece,1.0991422377590778,1.1321461229716576,1.1428123648954711,1.135444124884809,1.1443450615171906,1.1477100353982495
SquarePiece,1.0991830607963902,1.1322292898622133,1.1427680579922772,1.1354452016524803,1.1446821821527187,1.1479434611600239
SmallestHalfCut,1.0992086699883012,1.1321299405631928,1.1432555676133247,1.1380514053545998,1.148936452232,1.1532056107562416
""
""
LastDiminisher,averageFaceRatio_Avg
,4,8,16,32,64,128
Hor,0.36519607843137253,0.1825980392156863,0.09129901960784315,0.045649509803921566,0.022824754901960786,0.011412377450980392
Ver,0.17114093959731544,0.08557046979865772,0.04278523489932886,0.02139261744966443,0.010696308724832215,0.0053481543624161075
HighestScatter,0.36760499222773557,0.2167128806640926,0.12298201410256665,0.06967146496195131,0.03677457979052386,0.019664133817334974
MostValuableMargin,0.35662810233029785,0.22151325219296863,0.12951174996656586,0.07205827302275622,0.03785234599821202,0.020187800288307522
LargestMargin,0.3681280879816625,0.23022411272160034,0.1348804634656783,0.07420260019454603,0.039669118568571596,0.020825276889376923
VerHor,0.3705155414645344,0.26901560324569873,0.14191971829358635,0.07475690779629415,0.03887347405386186,0.0200589220400731
HorVer,0.438076336431878,0.26148083426721475,0.14389031906421387,0.07585693440573996,0.039435841444401494,0.02086513035047984
SmallestPiece,0.36519607843137253,0.1825980392156863,0.09129901960784315,0.045649509803921566,0.022824754901960786,0.011412377450980392
SquarePiece,0.36519607843137253,0.1825980392156863,0.09129901960784315,0.045649509803921566,0.03540546415746544,0.01814309439113713
SmallestHalfCut,0.36519607843137253,0.1825980392156863,0.10708643292412409,0.06323714551026616,0.03478817164456474,0.017836061484563327
""
""
