tlvRealEstate06_2020-05-30T19-08-55_NoiseProportion_0.6_50_exp.json
LastDiminisher,egalitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Ver,1.0,1.0,1.0,1.0,1.0,1.0
HighestScatter,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
MostValuableMargin,1.0,1.0,1.0000000000000002,1.0,1.0,1.0
LargestMargin,1.0,1.0,1.0,1.0,1.0,1.0
VerHor,1.0,1.0,1.0,1.0,1.0,1.0
HorVer,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestPiece,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999
SquarePiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestHalfCut,1.0,1.0,1.0,1.0,1.0,1.0
""
""
LastDiminisher,ttc_egalitarianGain_Avg
,4,8,16,32,64,128
Hor,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Ver,1.0,1.0,1.0,1.0,1.0,1.0
HighestScatter,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
MostValuableMargin,1.0,1.0,1.0000000000000002,1.0,1.0,1.0
LargestMargin,1.0,1.0,1.0,1.0,1.0,1.0
VerHor,1.0,1.0,1.0,1.0,1.0,1.0
HorVer,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestPiece,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999
SquarePiece,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
SmallestHalfCut,1.0,1.0,1.0,1.0,1.0,1.0
""
""
LastDiminisher,ttc_utilitarianGain_Avg
,4,8,16,32,64,128
Hor,1.1559260531466136,1.1993303071877928,1.221750116039271,1.2267954433484949,1.2409177229646566,1.242627587535214
Ver,1.1263595731875498,1.1642375977076158,1.1869728285694767,1.200404410979161,1.2043961564033447,1.2087636809172684
HighestScatter,1.1611649699947857,1.2200271747211835,1.2549196563795535,1.2706888271883974,1.2886157144628532,1.2937526499964318
MostValuableMargin,1.1549170517134173,1.2103206991502846,1.2452756949178083,1.2625106789437155,1.2833958111087143,1.2931417621419816
LargestMargin,1.1446229853421217,1.1957044474559766,1.2357875431223355,1.2604407264449375,1.2669932954621477,1.2657343337016798
VerHor,1.1268395398403508,1.1791463340368016,1.2253843995676579,1.2460548259260007,1.2556367167273996,1.2617319518867927
HorVer,1.1457172581215407,1.1945981735939044,1.2321106029944051,1.2489866692570684,1.2577658771363873,1.2628896560777072
SmallestPiece,1.1454625660300461,1.1970964775093238,1.1857253265860437,1.2003835910772602,1.2393787012368322,1.2427484147900587
SquarePiece,1.1449982249758919,1.200010718523486,1.2363733329599313,1.252747178792756,1.2680232701060312,1.2728828699210675
SmallestHalfCut,1.1280149076512465,1.177485163667633,1.206918905400749,1.2244376783750666,1.2323934980837308,1.2374083702216447
""
""
LastDiminisher,utilitarianGain_Avg
,4,8,16,32,64,128
Hor,1.1559260531466136,1.1993303071877928,1.221750116039271,1.2267954433484949,1.2409177229646566,1.242627587535214
Ver,1.1263595731875498,1.1642375977076158,1.1869728285694767,1.200404410979161,1.2043961564033447,1.2087636809172684
HighestScatter,1.1611649699947857,1.2200271747211835,1.2549196563795535,1.2706888271883974,1.2886157144628532,1.2937526499964318
MostValuableMargin,1.1549170517134173,1.2103206991502846,1.2452756949178083,1.2625106789437155,1.2833958111087143,1.2931417621419816
LargestMargin,1.1446229853421217,1.1957044474559766,1.2357875431223355,1.2604407264449375,1.2669932954621477,1.2657343337016798
VerHor,1.1268395398403508,1.1791463340368016,1.2253843995676579,1.2460548259260007,1.2556367167273996,1.2617319518867927
HorVer,1.1457172581215407,1.1945981735939044,1.2321106029944051,1.2489866692570684,1.2577658771363873,1.2628896560777072
SmallestPiece,1.1454625660300461,1.1970964775093238,1.1857253265860437,1.2003835910772602,1.2393787012368322,1.2427484147900587
SquarePiece,1.1449982249758919,1.200010718523486,1.2363733329599313,1.252747178792756,1.2680232701060312,1.2728828699210675
SmallestHalfCut,1.1280149076512465,1.177485163667633,1.206918905400749,1.2244376783750666,1.2323934980837308,1.2374083702216447
""
""
LastDiminisher,averageFaceRatio_Avg
,4,8,16,32,64,128
Hor,0.30952380952380953,0.15476190476190477,0.07738095238095238,0.03869047619047619,0.019345238095238096,0.009672619047619048
Ver,0.20192307692307693,0.10096153846153846,0.05048076923076923,0.025240384615384616,0.012620192307692308,0.006310096153846154
HighestScatter,0.3892618974649835,0.2511017329136127,0.15075355784985367,0.08141468678531774,0.0442549142432571,0.023158682154046272
MostValuableMargin,0.37427031859274706,0.23651657262075304,0.14048213430345635,0.0769231205864075,0.04272697447436111,0.02308134074840938
LargestMargin,0.36449027939429884,0.24678670518158746,0.14158884556941703,0.07898926138681882,0.042679066170306416,0.02165383675585363
VerHor,0.4012896936131741,0.22938718001774813,0.13679337426640698,0.0888818587574772,0.04651498859568045,0.023793891281211108
HorVer,0.4980769196370571,0.27729502690798236,0.15364003963401562,0.08232864082739022,0.04414141854272698,0.022997248113582763
SmallestPiece,0.4287738517244039,0.19660621897126726,0.11521390387923963,0.025715809899012718,0.02289020047525158,0.016615406638672982
SquarePiece,0.4977161064568475,0.2561597485396534,0.13855017882940626,0.0728693126059013,0.03750899756250375,0.019368685972204865
SmallestHalfCut,0.40712979458265736,0.22311951331266464,0.11174647704585665,0.05818035820453396,0.030011723812158535,0.015325779989732965
""
""
LastDiminisher,smallestFaceRatio_Avg
,4,8,16,32,64,128
