tlvRealEstate06_2020-05-30T19-08-55_NoiseProportion_0.6_50_exp.json
Hor
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.3677790678854663e-15,0.2639730970286427,1.3677790678854663e-15
8,1.0,0.7769353411388565,1.0,1.0,8.500033895303466e-16,0.07588496458370637,8.500033895303466e-16
16,1.0,0.7516375553366212,1.0,1.0,6.070886395797936e-16,0.03398576772470217,6.070886395797936e-16
32,1.0,0.7409258636257964,1.0,1.0,5.016447865302157e-16,0.018034729454109354,5.016447865302157e-16
64,1.0,0.7360776985147389,1.0,1.0,4.1080557617047397e-16,0.008839826658462745,4.1080557617047397e-16
128,0.9999999999999999,0.7338668890926993,0.9999999999999999,1.0,5.214211637410656e-16,0.0031462532286307865,5.214211637410656e-16
""
""
""
Ver
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.0885685475411063e-15,0.2639730970286427,1.0885685475411063e-15
8,1.0,0.7769353411388565,1.0,1.0,8.285011954100474e-16,0.07588496458370637,8.285011954100474e-16
16,1.0,0.7516375553366212,1.0,1.0,5.722022480085871e-16,0.03398576772470217,5.722022480085871e-16
32,1.0,0.7409258636257964,1.0,1.0,4.821600727111153e-16,0.018034729454109354,4.821600727111153e-16
64,1.0,0.7360776985147389,1.0,1.0,5.282410845034224e-16,0.008839826658462745,5.282410845034224e-16
128,1.0,0.7338668890926993,1.0,1.0,4.999736027111274e-16,0.0031462532286307865,4.999736027111274e-16
""
""
""
HighestScatter
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.376042883714568e-15,0.2639730970286427,1.376042883714568e-15
8,1.0,0.7769353411388565,1.0,1.0,8.773145053594674e-16,0.07588496458370637,8.773145053594674e-16
16,1.0,0.7516375553366212,1.0,1.0,5.655932415103699e-16,0.03398576772470217,5.655932415103699e-16
32,1.0,0.7409258636257964,1.0,1.0,5.120495221490813e-16,0.018034729454109354,5.120495221490813e-16
64,1.0,0.7360776985147389,1.0,1.0,4.1080557617047397e-16,0.008839826658462745,4.1080557617047397e-16
128,0.9999999999999999,0.7338668890926993,0.9999999999999999,1.0,5.214211637410656e-16,0.0031462532286307865,5.214211637410656e-16
""
""
""
MostValuableMargin
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.4265852834830903e-15,0.2639730970286427,1.4265852834830903e-15
8,1.0,0.7769353411388565,1.0,1.0,9.691500733949443e-16,0.07588496458370637,9.691500733949443e-16
16,1.0000000000000002,0.7516375553366212,1.0000000000000002,1.0,5.127079434686137e-16,0.03398576772470217,5.127079434686137e-16
32,1.0,0.7409258636257964,1.0,1.0,5.265569030074101e-16,0.018034729454109354,5.265569030074101e-16
64,1.0,0.7360776985147389,1.0,1.0,4.4145104993480155e-16,0.008839826658462745,4.4145104993480155e-16
128,1.0,0.7338668890926993,1.0,1.0,5.905001466777675e-16,0.0031462532286307865,5.905001466777675e-16
""
""
""
LargestMargin
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.3798885489109685e-15,0.2639730970286427,1.3798885489109685e-15
8,1.0,0.7769353411388565,1.0,1.0,9.596995625176769e-16,0.07588496458370637,9.596995625176769e-16
16,1.0,0.7516375553366212,1.0,1.0,5.937653234400615e-16,0.03398576772470217,5.937653234400615e-16
32,1.0,0.7409258636257964,1.0,1.0,5.121925441838734e-16,0.018034729454109354,5.121925441838734e-16
64,1.0,0.7360776985147389,1.0,1.0,4.0776216638471663e-16,0.008839826658462745,4.0776216638471663e-16
128,1.0,0.7338668890926993,1.0,1.0,5.168675113202833e-16,0.0031462532286307865,5.168675113202833e-16
""
""
""
VerHor
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.0885685475411063e-15,0.2639730970286427,1.0885685475411063e-15
8,1.0,0.7769353411388565,1.0,1.0,8.285011954100474e-16,0.07588496458370637,8.285011954100474e-16
16,1.0,0.7516375553366212,1.0,1.0,5.722022480085871e-16,0.03398576772470217,5.722022480085871e-16
32,1.0,0.7409258636257964,1.0,1.0,4.821600727111153e-16,0.018034729454109354,4.821600727111153e-16
64,1.0,0.7360776985147389,1.0,1.0,5.282410845034224e-16,0.008839826658462745,5.282410845034224e-16
128,1.0,0.7338668890926993,1.0,1.0,4.999736027111274e-16,0.0031462532286307865,4.999736027111274e-16
""
""
""
HorVer
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.3677790678854663e-15,0.2639730970286427,1.3677790678854663e-15
8,1.0,0.7769353411388565,1.0,1.0,8.500033895303466e-16,0.07588496458370637,8.500033895303466e-16
16,1.0,0.7516375553366212,1.0,1.0,6.070886395797936e-16,0.03398576772470217,6.070886395797936e-16
32,1.0,0.7409258636257964,1.0,1.0,5.016447865302157e-16,0.018034729454109354,5.016447865302157e-16
64,1.0,0.7360776985147389,1.0,1.0,3.9778604261091747e-16,0.008839826658462745,3.9778604261091747e-16
128,0.9999999999999999,0.7338668890926993,0.9999999999999999,1.0,5.026458063685142e-16,0.0031462532286307865,5.026458063685142e-16
""
""
""
SmallestPiece
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,0.9999999999999999,0.8364683285009353,0.9999999999999999,1.0,1.3827473542969006e-15,0.2639730970286427,1.3827473542969006e-15
8,1.0,0.7769353411388565,1.0,1.0,8.93328810581488e-16,0.07588496458370637,8.93328810581488e-16
16,1.0,0.7516375553366212,1.0,1.0,5.722022480085871e-16,0.03398576772470217,5.722022480085871e-16
32,1.0,0.7409258636257964,1.0,1.0,4.821600727111153e-16,0.018034729454109354,4.821600727111153e-16
64,1.0,0.7360776985147389,1.0,1.0,3.9647070935066984e-16,0.008839826658462745,3.9647070935066984e-16
128,0.9999999999999999,0.7338668890926993,0.9999999999999999,1.0,5.214211637410656e-16,0.0031462532286307865,5.214211637410656e-16
""
""
""
SquarePiece
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.3677790678854663e-15,0.2639730970286427,1.3677790678854663e-15
8,1.0,0.7769353411388565,1.0,1.0,8.500033895303466e-16,0.07588496458370637,8.500033895303466e-16
16,1.0,0.7516375553366212,1.0,1.0,6.070886395797936e-16,0.03398576772470217,6.070886395797936e-16
32,1.0,0.7409258636257964,1.0,1.0,5.016447865302157e-16,0.018034729454109354,5.016447865302157e-16
64,1.0,0.7360776985147389,1.0,1.0,4.1080557617047397e-16,0.008839826658462745,4.1080557617047397e-16
128,0.9999999999999999,0.7338668890926993,0.9999999999999999,1.0,5.214211637410656e-16,0.0031462532286307865,5.214211637410656e-16
""
""
""
SmallestHalfCut
NumberOfAgents,LastDiminisher,Assessor,LastDiminisherTTC,Selling,LastDiminisher_Conf,As_Conf,LastDiminisherTTC_Conf
4,1.0,0.8364683285009353,1.0,1.0,1.0885685475411063e-15,0.2639730970286427,1.0885685475411063e-15
8,1.0,0.7769353411388565,1.0,1.0,8.285011954100474e-16,0.07588496458370637,8.285011954100474e-16
16,1.0,0.7516375553366212,1.0,1.0,5.722022480085871e-16,0.03398576772470217,5.722022480085871e-16
32,1.0,0.7409258636257964,1.0,1.0,4.821600727111153e-16,0.018034729454109354,4.821600727111153e-16
64,1.0,0.7360776985147389,1.0,1.0,5.282410845034224e-16,0.008839826658462745,5.282410845034224e-16
