4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_HighestScatter,0.026346687317768503,0.023220143251791687,0.01341470617231788,0.026346687317768503,0.023220143251791687,0.01341470617231788
EvenPaz_LargestMargin,0.02630136307238625,0.023179612360184412,0.01274024164662336,0.02630136307238625,0.023179612360184412,0.01274024164662336
EvenPaz_Ver,0.06850547549275789,0.059780821668025556,0.026948712665031557,0.06850547549275789,0.059780821668025556,0.026948712665031557
EvenPaz_SmallestPiece,0.03229419679614173,0.028452097358597578,0.014461384902452409,0.03229419679614173,0.028452097358597578,0.014461384902452409
EvenPaz_HorVer,0.03270235443819276,0.02878517274994779,0.013700168025270217,0.03270235443819276,0.02878517274994779,0.013700168025270217
EvenPaz_MostValuableMargin,0.025214828562573115,0.022215123075547124,0.012167338824615655,0.025214828562573115,0.022215123075547124,0.012167338824615655
EvenPaz_Hor,0.03104700660897391,0.027436912172936485,0.014075838796016881,0.03104700660897391,0.027436912172936485,0.014075838796016881
EvenPaz_VerHor,0.03959825582129951,0.03477952834571071,0.017929326159712145,0.03959825582129951,0.03477952834571071,0.017929326159712145
EvenPaz_SmallestHalfCut,0.03104700660897391,0.027436912172936485,0.014075838796016881,0.03104700660897391,0.027436912172936485,0.014075838796016881
EvenPaz_SquarePiece,0.03270235443819276,0.02878517274994779,0.013700168025270217,0.03270235443819276,0.02878517274994779,0.013700168025270217

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_HighestScatter,0.03715065904578475,0.030987634291709185,0.014701241192298476,0.03715065904578475,0.030987634291709185,0.014701241192298476
EvenPaz_LargestMargin,0.037880878551819,0.031630539255796376,0.014171888566881584,0.037880878551819,0.031630539255796376,0.014171888566881584
EvenPaz_Ver,0.1004433829867768,0.0838204691835769,0.023524717886601307,0.1004433829867768,0.0838204691835769,0.023524717886601307
EvenPaz_SmallestPiece,0.047180138661971176,0.03940007690748499,0.014818498706047695,0.047180138661971176,0.03940007690748499,0.014818498706047695
EvenPaz_HorVer,0.04364327802579436,0.036464215498057215,0.013509716400785632,0.04364327802579436,0.036464215498057215,0.013509716400785632
EvenPaz_MostValuableMargin,0.03615471976390717,0.030164076731777883,0.01438560257377332,0.03615471976390717,0.030164076731777883,0.01438560257377332
EvenPaz_Hor,0.05095072895405108,0.04256361286890967,0.015163465643576356,0.05095072895405108,0.04256361286890967,0.015163465643576356
EvenPaz_VerHor,0.05291293109464422,0.04425667135360569,0.01279886085555586,0.05291293109464422,0.04425667135360569,0.01279886085555586
EvenPaz_SmallestHalfCut,0.05095072895405108,0.04256361286890967,0.015163465643576356,0.05095072895405108,0.04256361286890967,0.015163465643576356
EvenPaz_SquarePiece,0.04408599023269469,0.03683490955393407,0.013766000011934157,0.04408599023269469,0.03683490955393407,0.013766000011934157

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_HighestScatter,0.053729043072384484,0.04339620020086333,0.014015063865980124,0.053729043072384484,0.04339620020086333,0.014015063865980124
EvenPaz_LargestMargin,0.055906166121656255,0.04513944936204886,0.013295787026449951,0.055906166121656255,0.04513944936204886,0.013295787026449951
EvenPaz_Ver,0.12218850968098298,0.09846975135937158,0.01761715179644636,0.12218850968098298,0.09846975135937158,0.01761715179644636
EvenPaz_SmallestPiece,0.07020329618142612,0.05666550892517172,0.012304014988373637,0.07020329618142612,0.05666550892517172,0.012304014988373637
EvenPaz_HorVer,0.060622623386408066,0.04893345872659476,0.012588424401303394,0.060622623386408066,0.04893345872659476,0.012588424401303394
EvenPaz_MostValuableMargin,0.052321415601935824,0.04225380529839959,0.01319073071865661,0.052321415601935824,0.04225380529839959,0.01319073071865661
EvenPaz_Hor,0.07854739018431628,0.06340049725820897,0.013451775226923519,0.07854739018431628,0.06340049725820897,0.013451775226923519
EvenPaz_VerHor,0.06169266603431026,0.049774793582439594,0.013596500688133867,0.06169266603431026,0.049774793582439594,0.013596500688133867
EvenPaz_SmallestHalfCut,0.0780425710949387,0.0629982530055439,0.013284738179077592,0.0780425710949387,0.0629982530055439,0.013284738179077592
EvenPaz_SquarePiece,0.060231362776986416,0.04861654977525957,0.013722013056702434,0.060231362776986416,0.04861654977525957,0.013722013056702434

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_HighestScatter,0.06301704415064303,0.05001217757070808,0.015339485635341259,0.06301704415064303,0.05001217757070808,0.015339485635341259
EvenPaz_LargestMargin,0.06403760968704893,0.050822418415688714,0.015397057040367007,0.06403760968704893,0.050822418415688714,0.015397057040367007
EvenPaz_Ver,0.13686469450470565,0.10855290950350119,0.013642227725013969,0.13686469450470565,0.10855290950350119,0.013642227725013969
EvenPaz_SmallestPiece,0.0866844751249144,0.06878346530040495,0.013468053243740482,0.0866844751249144,0.06878346530040495,0.013468053243740482
EvenPaz_HorVer,0.0701333038410249,0.05565939103541399,0.014709696581494323,0.0701333038410249,0.05565939103541399,0.014709696581494323
EvenPaz_MostValuableMargin,0.061719528820048185,0.048975708553202504,0.015012522301581106,0.061719528820048185,0.048975708553202504,0.015012522301581106
EvenPaz_Hor,0.09916241227753651,0.07870452854865101,0.013910723035882392,0.09916241227753651,0.07870452854865101,0.013910723035882392
