128,agents
Cut Pattern,sgAvg,sgAvg Improv(%),sgAvg stdev,sgMax,sgMax Improv(%),sgMax stdev
EvenPaz_HighestScatter,0.000181214648086,0.0178287003134,3.010585713016294e-05,0.000745210284782,0.0601027659004,0.00018598133098768522
EvenPaz_SmallestHalfCut,9.61101327938e-05,0.00905789605956,2.279526737685832e-05,0.000623787081826,0.0460330695407,0.00021725352225537278
EvenPaz_HorVer,0.000174892853763,0.0173198888686,3.306015902728534e-05,0.000734342893045,0.0578931672864,0.0001740014817584974
EvenPaz_SquarePiece,0.000182200617647,0.0182038865773,3.859920249498957e-05,0.000918367036698,0.0828205506104,0.00027053705946014384
EvenPaz_MostValuableMargin,0.000192862686037,0.0189738612065,3.407619773046945e-05,0.000936482911122,0.0815160222014,0.00025116563602338557
EvenPaz_Ver,9.21589827247e-05,0.00892286886249,4.38117842281772e-05,0.000981459011269,0.0717691482909,0.00081551310776156
EvenPaz_Hor,9.17116475408e-05,0.00863458524862,2.230036434754923e-05,0.000623293186856,0.0454324739111,0.00021799509298893233
EvenPaz_VerHor,0.000188440069074,0.0186155421156,4.962063097162282e-05,0.000803761723584,0.0700120021437,0.00026582315370323644
EvenPaz_LargestMargin,0.000213342332938,0.0221012774152,7.362879806000055e-05,0.00142963568565,0.155076095506,0.00044270383939419783
EvenPaz_SmallestPiece,0.000114865876295,0.0110959756508,2.4944774359349307e-05,0.000647590893264,0.0484504411032,0.00021062885177162212

