4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.029886644457353815,0.02590815857686528,0.01619254918737961,0.029886644457353815,0.02590815857686528,0.01619254918737961
FOCSEV,0.027200727533698014,0.023543130523478128,0.013656956122576868,0.027200727533698014,0.023543130523478128,0.013656956122576868
FOCSLE,0.036917246378320084,0.03204228236035238,0.019891966966588646,0.036917246378320084,0.03204228236035238,0.019891966966588646
FOCSAFR,0.029836612947065248,0.025869837185079403,0.016345717805833843,0.029836612947065248,0.025869837185079403,0.016345717805833843
FOCSUV,0.025029348425240846,0.02167280129069162,0.013308784255749889,0.025029348425240846,0.02167280129069162,0.013308784255749889

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.04914427093351662,0.04073720593929563,0.012863425684517012,0.04914427093351662,0.04073720593929563,0.012863425684517012
FOCSEV,0.040582153190254065,0.0336256604004065,0.014009995882566927,0.040582153190254065,0.0336256604004065,0.014009995882566927
FOCSLE,0.0507711658596093,0.042100654072994244,0.015370307821595104,0.0507711658596093,0.042100654072994244,0.015370307821595104
FOCSAFR,0.04991578412562483,0.041351905646664806,0.01375615110397724,0.04991578412562483,0.041351905646664806,0.01375615110397724
FOCSUV,0.03601408451611929,0.02985185809296159,0.011842048417153583,0.03601408451611929,0.02985185809296159,0.011842048417153583

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.057617753166720076,0.04588770902190173,0.014387936456189517,0.057617753166720076,0.04588770902190173,0.014387936456189517
FOCSEV,0.05310994096048722,0.042311112972309876,0.013465811698626708,0.05310994096048722,0.042311112972309876,0.013465811698626708
FOCSLE,0.061334193775546254,0.04888918257841685,0.01559962233353509,0.061334193775546254,0.04888918257841685,0.01559962233353509
FOCSAFR,0.06362271047413294,0.05065039860590382,0.01293938840178429,0.06362271047413294,0.05065039860590382,0.01293938840178429
FOCSUV,0.0473723382337892,0.037742621822711465,0.012795659049252851,0.0473723382337892,0.037742621822711465,0.012795659049252851

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.06509589580168881,0.050536319990774486,0.012411531018706859,0.06509589580168881,0.050536319990774486,0.012411531018706859
FOCSEV,0.062320283324845197,0.048376416017789726,0.012591856878353208,0.062320283324845197,0.048376416017789726,0.012591856878353208
FOCSLE,0.06734162657503641,0.052276490851728,0.011421892988575011,0.06734162657503641,0.052276490851728,0.011421892988575011
FOCSAFR,0.06733495265920192,0.05227873951974231,0.01039612697599535,0.06733495265920192,0.05227873951974231,0.01039612697599535
FOCSUV,0.05314034204886429,0.04126513302487551,0.011084121222929975,0.05314034204886429,0.04126513302487551,0.011084121222929975

64,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.06939021409665028,0.052913896723689416,0.00879829592818693,0.06939021409665028,0.052913896723689416,0.00879829592818693
FOCSEV,0.07077531846263002,0.05397201031954303,0.010264647566185373,0.07077531846263002,0.05397201031954303,0.010264647566185373
FOCSLE,0.06995814689340091,0.053354600164777236,0.009288440928053242,0.06995814689340091,0.053354600164777236,0.009288440928053242
FOCSAFR,0.07311440442446664,0.05575523330650589,0.010071640578953173,0.07311440442446664,0.05575523330650589,0.010071640578953173
FOCSUV,0.05873030020836531,0.04479000163002403,0.00853506168003201,0.05873030020836531,0.04479000163002403,0.00853506168003201

128,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.06999685425219827,0.05267283457918923,0.00789073131665084,0.06999685425219827,0.05267283457918923,0.00789073131665084
FOCSEV,0.07099103132091918,0.053419330894439836,0.008209686306576522,0.07099103132091918,0.053419330894439836,0.008209686306576522
FOCSLE,0.06823394920435441,0.051344532180321936,0.008399046396934333,0.06823394920435441,0.051344532180321936,0.008399046396934333
FOCSAFR,0.0714643361893674,0.0537782893572012,0.007984964375523044,0.0714643361893674,0.0537782893572012,0.007984964375523044
FOCSUV,0.057993480658636,0.043639256559915414,0.007656376379102731,0.057993480658636,0.043639256559915414,0.007656376379102731

