Israel06HS_2020-06-15T00-51-42_NoiseProportion_0.6_50_exp.json
4
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
FOCSEV,1.0747540640351274,0.23832465403088976,0.04180190575557701,1.0747540640351274,0.23832465403088976,0.04180190575557701,1.121822633097574,0.11567474751504846,0.04109490244129253,1.121822633097574,0.11567474751504846,0.04109490244129253,0.5481802534829101,-0.2283163875811919,0.1477935808893328,0.3041825608898481,-0.4324940059374166,0.21611896069245384,1.0211151198846018,0.2575888776846169,0.0342907992502431,1.0211151198846018,0.2575888776846169,0.0342907992502431,0.004132349967956543,0.0018065584069588353
FOCSUV,1.0723628996351497,0.23556956993544917,0.04309548671238817,1.0723628996351497,0.23556956993544917,0.04309548671238817,1.1239940122060312,0.11783422689005296,0.04169587617931225,1.1239940122060312,0.11783422689005296,0.04169587617931225,0.5900349870114187,-0.16939669508790325,0.14786864061804977,0.34928239322430954,-0.3483523473684602,0.22048904587137222,1.0168514758522555,0.2606887992209518,0.025761472612270513,1.0168514758522555,0.2606887992209518,0.025761472612270513,0.004132349967956543,0.0018065584069588353
FOCSLE,1.063700080372115,0.22558832582965443,0.04230166830295247,1.063700080372115,0.22558832582965443,0.04230166830295247,1.112106114252952,0.10601147777091238,0.04438726337427167,1.112106114252952,0.10601147777091238,0.04438726337427167,0.4043355101332084,-0.4308093275772779,0.2412381345745866,0.2549428819219868,-0.5243592755249711,0.2250606719771332,1.0162849130755363,0.2611007238891262,0.02696467407893393,1.0162849130755363,0.2611007238891262,0.02696467407893393,0.004132349967956543,0.0018065584069588353
FOCSAFR,1.064325855410448,0.22630933976556403,0.04260838577378885,1.065791092925917,0.22799757691686529,0.042747847206972,1.116965688352493,0.11084442011543046,0.04358695382355566,1.1191867476842068,0.11305330745289087,0.04303918298387138,0.7089721397481582,-0.001966637015670888,0.01062043622517343,0.5351095399723566,-0.001659166370313176,0.014522022818933781,1.03589931667994,0.24683989167743792,0.04400844787875553,1.0333184890005513,0.24871630613516726,0.04282866553918255,0.004132349967956543,0.0018065584069588353
FOCSSFR,1.0640480826829923,0.22598929183261246,0.042148292442734686,1.0656459307354933,0.22783032198362058,0.041779545773717085,1.1174991139804444,0.11137492242945449,0.043573096186699016,1.1191367161739183,0.11300355012854917,0.04279839976021971,0.699029783837116,-0.015962677691415014,0.013421270588583535,0.5463737601368284,0.019356214797752073,0.029024139817785594,1.03489297928866,0.24757155851650348,0.04088512650891828,1.0305553165509602,0.2507252960320985,0.03905644544720325,0.004132349967956543,0.0018065584069588353
Summary,FOCSEV,FOCSEV, ,FOCSEV,FOCSEV, ,FOCSUV,FOCSUV, ,FOCSUV,FOCSUV, ,FOCSAFR,FOCSAFR, ,FOCSSFR,FOCSSFR, ,FOCSLE,FOCSAFR, ,FOCSLE,FOCSAFR, ,FOCSEV, , , , , , , , , , , , , , , , , , , , , , , , 
""
""
8
Cut Heuristic,egalitarianGain,,,ttc_egalitarianGain,,,utilitarianGain,,,ttc_utilitarianGain,,,averageFaceRatio,,,smallestFaceRatio,,,largestEnvy,,,ttc_largestEnvy,,,runDuration(sec),
,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageRatio,Improv(%),StDev,AverageGain,Improv(%),StDev,AverageGain,Improv(%),StDev,Average Time,StDev
FOCSEV,1.0776402317753182,0.4141760672032588,0.023983637950395983,1.0783670097966835,0.41512981044119546,0.024086126767608008,1.1650804699477209,0.16736174043642812,0.03396943371172713,1.1655335256246506,0.1678156832130666,0.03378384168255667,0.4091132206768277,-0.05075897257293731,0.07300407785222808,0.10291095330175376,-0.31099359327562975,0.04038419615704735,1.071345268004291,0.3412372132732926,0.0517137523343439,1.071345268004291,0.3412372132732926,0.0517137523343439,0.16307197666168213,0.020482937449459046
FOCSUV,1.0702300446483715,0.4044517557128071,0.02586283432900297,1.0702300446483715,0.4044517557128071,0.02586283432900297,1.1698272418447666,0.17211780668774782,0.03377040982467843,1.1701015942987854,0.17239269633398033,0.03366311307592439,0.40810808181397756,-0.05309113638152864,0.06684931088617413,0.10510941236508564,-0.29627453441009394,0.0336837528371303,1.0657965727270977,0.3446490675770972,0.049242360645441935,1.0657965727270977,0.3446490675770972,0.049242360645441935,0.16307197666168213,0.020482937449459046
FOCSLE,1.0596473507106328,0.39056419653303126,0.024286609905543263,1.0601125817325878,0.39117471436409396,0.024129525670557057,1.154869319714502,0.15713059639481253,0.03527306024087614,1.1553445129552953,0.15760672008148036,0.03528416846655731,0.3264090523054418,-0.24265252621433822,0.1214797269370765,0.07570971032748224,-0.4931105602148521,0.03882942994198559,1.0608602496544426,0.3476843784527248,0.042752505653197825,1.0602102769394537,0.3480840421744119,0.04336606245802251,0.16307197666168213,0.020482937449459046
