4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_MostValuableMargin,0.00981552753558564,0.01736609925793409,0.00688206660652631,0.13427694292130873,0.42331160311999416,0.06721126303879131
EvenPaz_SmallestHalfCut,0.02482156309581532,0.07619475089436704,0.009063742475254155,0.15819196455930992,0.5369719013092755,0.06305751530398554
EvenPaz_HorVer,0.014856212715219976,0.036945522392263806,0.009015057365813262,0.14309213239981908,0.4628443104696671,0.06922030884884751
EvenPaz_Hor,0.015046300719236218,0.03505923399285183,0.0071625040682318526,0.13778617779414884,0.43857301336066007,0.06401194932402983
EvenPaz_HighestScatter,0.010215614939322689,0.01888165576811728,0.007239785726970725,0.13457960167559577,0.42428101855630634,0.06727571531760901
EvenPaz_Ver,0.025590257806663512,0.08120449192074375,0.007261163667127293,0.16279786417492503,0.5598493760267571,0.06801891544851528
EvenPaz_VerHor,0.02133663142229117,0.0619633572455343,0.009535860417783803,0.1517931784150779,0.5037054065078271,0.06166307991953972
EvenPaz_LargestMargin,0.009504363377754784,0.017384698987945094,0.006467694181659311,0.13599993932070395,0.4313060005635847,0.06893015977880114
EvenPaz_SquarePiece,0.014856212715219976,0.036945522392263806,0.009015057365813262,0.14309213239981908,0.4628443104696671,0.06922030884884751
EvenPaz_SmallestPiece,0.016906951998942668,0.04716385450685403,0.009480453915921104,0.14875048764808782,0.49315503892854,0.07179909330761503

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_MostValuableMargin,0.006077446438255659,0.0091117072719286,0.0032766608184296854,0.13661667874873623,0.7557130557918296,0.07461437917700671
EvenPaz_SmallestHalfCut,0.017487864833261358,0.09605806822756728,0.003312160827406528,0.1579529219155999,0.976045003606241,0.0707843394522681
EvenPaz_HorVer,0.008549510174452523,0.02858952628669282,0.004072558128516849,0.14359214793416444,0.8214358517568381,0.075161317382155
EvenPaz_Hor,0.011638047396254942,0.05054686815005786,0.003323404454819445,0.14669799390969995,0.8509303492488943,0.07070859201797797
EvenPaz_HighestScatter,0.0062972249350246165,0.010967263840852497,0.00350238650898876,0.13709893409858206,0.7599363242195833,0.07481054358864032
EvenPaz_Ver,0.018218388433899245,0.10377557653525848,0.0029398267397132043,0.15892575039927995,1.0097233315393195,0.07547976665530574
EvenPaz_VerHor,0.014292679567512775,0.07093462027603178,0.003243930893212011,0.153482332294165,0.9272209689210161,0.07146077226510093
EvenPaz_LargestMargin,0.006638860545585814,0.01445927056229102,0.0037284607450847247,0.13945076778784934,0.7852143535846484,0.07531458614928561
EvenPaz_SquarePiece,0.009004843888991691,0.03133043491606866,0.0040762220885258065,0.14365790752628857,0.8231249190639619,0.07522937885979548
EvenPaz_SmallestPiece,0.010087891657584079,0.04216078994310687,0.005233784632201462,0.1462513961941278,0.8696070503642686,0.07902746937172174

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_MostValuableMargin,0.003268112281299422,0.005884442504272781,0.0013217731389927815,0.10952165965486267,1.0794358617502877,0.03570164547454062
EvenPaz_SmallestHalfCut,0.010341647470434262,0.11382226470697254,0.0013745351016370897,0.12674706993411453,1.4872846812260279,0.03628071144224798
EvenPaz_HorVer,0.004450394620323737,0.022495607608119528,0.0014551839107258752,0.11306012331884013,1.1515376852341905,0.036399320572827874
EvenPaz_Hor,0.007568793157277947,0.07117004709232438,0.0012412699805322228,0.12306779294544283,1.397265298340454,0.037564411403345446
EvenPaz_HighestScatter,0.0036023696665291633,0.010228308480607644,0.0014967430398106678,0.10993842310986142,1.0948047197117483,0.035573062776469336
EvenPaz_Ver,0.011708007063813855,0.13394009794795994,0.001264572416829699,0.12483028741251578,1.4838403726705136,0.035771149256871124
EvenPaz_VerHor,0.007402192546590819,0.06609085573943833,0.0015309435627392433,0.12105345959920229,1.33991667419929,0.0357969456976413
EvenPaz_LargestMargin,0.0035699356236457125,0.010426046423935575,0.001463669474608867,0.11118750147265576,1.114492205721342,0.03671404107456807
EvenPaz_SquarePiece,0.004426803568878934,0.022570949234456014,0.0014725616708164046,0.1133085538729651,1.1559619644559316,0.036280581650976154
EvenPaz_SmallestPiece,0.005020198289364733,0.030516840823125464,0.0018899735165083071,0.11287714691066675,1.1599808361141393,0.03562142794120249

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_MostValuableMargin,0.0018672422700913396,0.010699912305866015,0.0004743176066082849,0.08027157986900209,1.5638637642275697,0.023729057599879675
EvenPaz_SmallestHalfCut,0.006030420238238766,0.13625527321779132,0.0004880415368901457,0.08995584948360204,2.1673299571911615,0.025029872640672707
EvenPaz_HorVer,0.0023706839795804,0.024961936536512117,0.0006033957310206086,0.08210292674436842,1.6649695906338664,0.02426572030218494
EvenPaz_Hor,0.004733624066664067,0.09555382437997405,0.0004833552647424008,0.08613728795262343,1.9309223911340059,0.02506584731616532
EvenPaz_HighestScatter,0.002009278335622568,0.014853719437889974,0.0006351141224845441,0.0810060871770268,1.608391332380811,0.024119994985608403
EvenPaz_Ver,0.006825132716468699,0.1624730607608582,0.00044742465799869484,0.09095879052179986,2.2955366325019684,0.02386488701972105
EvenPaz_VerHor,0.004054441321316986,0.072750242290496,0.0004841940511766102,0.08566988061582542,1.8795234156959923,0.024536268509896444
EvenPaz_LargestMargin,0.002289120081940028,0.023627452705098907,0.0007279120181104764,0.08113524008056848,1.6149566726743714,0.023980776356853868
EvenPaz_SquarePiece,0.0024465045272506524,0.027104805005818054,0.0005795185936517759,0.08228097594058376,1.6718797050208676,0.024076281997758773
EvenPaz_SmallestPiece,0.002846139867008175,0.03896860813247492,0.0007015886179264035,0.082739885325876,1.7116984979495504,0.024162976513230065

64,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
EvenPaz_MostValuableMargin,0.000920376357733696,0.01719599126825904,0.00023203354882513685,0.05548154038627176,2.1491765145209953,0.017109478435320093
