
NumberOfAgents,NoiseProportion,Algorithm,Method,egalitarianGain_Avg,egalitarianGain_StDev,egalitarianGain_interval,ttc_egalitarianGain_Avg,ttc_egalitarianGain_StDev,ttc_egalitarianGain_interval,utilitarianGain_Avg,utilitarianGain_StDev,utilitarianGain_interval,ttc_utilitarianGain_Avg,ttc_utilitarianGain_StDev,ttc_utilitarianGain_interval,averageFaceRatio_Avg,averageFaceRatio_StDev,averageFaceRatio_interval,largestFaceRatio,smallestFaceRatio_Avg,smallestFaceRatio_StDev,smallestFaceRatio_interval,averageInheritanceGain,largestInheritanceGain,largestEnvy_Avg,largestEnvy_StDev,largestEnvy_interval,ttc_largestEnvy_Avg,ttc_largestEnvy_StDev,ttc_largestEnvy_interval,experimentDurationSec_Avg,experimentDurationSec_StDev,experimentDurationSec_interval,experiment,dishonestAgent,relativeValues,ttc_relativeValues,comment
4,0.6,Honest_LastDiminisher,Hor,1.0,4.557409699639984e-16,1.4503711660285929e-15,1.0,4.557409699639984e-16,1.4503711660285929e-15,1.1082100443496852,0.038487919077926806,0.12248573586762786,1.1082100443496852,0.038487919077926806,0.12248573586762786,0.36519607843137253,3.172065784643304e-17,1.009492903645671e-16,0,0.3102995456520203,0.015195187785385244,0.04835786922569983,0,0,1.1515737376924275,0.06554790987255357,0.20860270359301397,1.1515737376924275,0.06554790987255357,0.20860270359301397,0.14707966327667235,0.03442928642761846,0.10956935538514798,450,,"{'300': 0.2530004175534523, '768': 0.27973355328375954, '806': 0.27389165542846333, '930': 0.25000000000000006}","{'300': 0.2530004175534523, '768': 0.27973355328375954, '806': 0.27389165542846333, '930': 0.25000000000000006}",
4,0.6,Assessor,Assessor,0.9057882713972442,0.037227870432122244,0.11847569871030869,0.9383701369171774,0.0506293697314221,0.16112525064063515,1.0063385635609379,0.07451880632556603,0.23715209986499117,1.1014078528392264,0.052646595763422226,0.1675449641730972,0.6845637760591973,0.0,0.0,0,0.6843254999970521,0.0,0.0,0,0,1.3750425977793521,0.09035687973423165,0.28755591806722,1.3014866534134732,0.11059176958240723,0.35195236850238043,0.08694540023803711,0.06612363152002439,0.21043490682287963,450,,"{'300': 0.22395430226563212, '768': 0.23630232853368313, '806': 0.2537312584454109, '930': 0.2733256434914322}","{'300': 0.22395430226563212, '768': 0.3247660519793071, '806': 0.309436765319989, '930': 0.2733256434914322}",
4,0.6,Honest_HighestBidder,HighestBidder,0.6878227033486164,0.20506799839057877,0.6526178938101366,0.6878227033486164,0.20506799839057877,0.6526178938101366,1.2034306449018997,0.03563296480318903,0.11339999718423312,1.2034306449018997,0.03563296480318903,0.11339999718423312,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,17.245240335464477,1.9963514339833521,6.353281245129259,450,,"{'930': 0.2558444937217053, '300': 0.1418855431498523, '806': 0.2640715322123934, '768': 0.5253640463584837}","{'930': 0.2558444937217053, '300': 0.1418855431498523, '806': 0.2640715322123934, '768': 0.5253640463584837}",
4,0.6,Integrated_Honest_LastDiminisher,Hor,0.10401076231361156,4.557409699639984e-16,1.4503711660285929e-15,0.10401076231361156,4.557409699639984e-16,1.4503711660285929e-15,0.10122982908284282,0.038487919077926806,0.12248573586762786,0.10122982908284282,0.038487919077926806,0.12248573586762786,-0.46652731096336536,3.172065784643304e-17,1.009492903645671e-16,0,-0.5465614745419293,0.015195187785385244,0.04835786922569983,0,0,-0.16251777250233507,0.06554790987255357,0.20860270359301397,-0.16251777250233507,0.06554790987255357,0.20860270359301397,0.691632482845568,0.03442928642761846,0.10956935538514798,450,,"{'300': 0.2530004175534523, '768': 0.27973355328375954, '806': 0.27389165542846333, '930': 0.25000000000000006}","{'300': 0.2530004175534523, '768': 0.27973355328375954, '806': 0.27389165542846333, '930': 0.25000000000000006}",
8,0.6,Honest_LastDiminisher,Hor,1.0,4.0550366944415644e-16,9.588638106413164e-16,1.0,4.0550366944415644e-16,9.588638106413164e-16,1.144371137752556,0.03752630003439229,0.08873559911201265,1.144371137752556,0.03752630003439229,0.08873559911201265,0.1825980392156863,1.3838080179054133e-17,3.2721859978816345e-17,0,0.14970036481602367,0.010509490439496378,0.024850995958994024,0,0,1.2210524686747535,0.06203339254746521,0.1466856643901778,1.2210524686747535,0.06203339254746521,0.1466856643901778,0.34553595542907717,0.05925694122292999,0.14012040025643216,850,,"{'206': 0.15221962356079835, '313': 0.1483821805822696, '404': 0.12924119167015435, '46': 0.1498082551697946, '487': 0.12544221452927307, '935': 0.13322090207969592, '946': 0.125, '971': 0.15255021722567585}","{'206': 0.15221962356079835, '313': 0.1483821805822696, '404': 0.12924119167015435, '46': 0.1498082551697946, '487': 0.12544221452927307, '935': 0.13322090207969592, '946': 0.125, '971': 0.15255021722567585}",
8,0.6,Assessor,Assessor,0.8757561938173238,0.013154751957337613,0.031106045494345723,0.9056771751229626,0.04712550002192744,0.11143410019283602,0.9979603635215919,0.04826541651202963,0.1141295743694582,1.1906344094597612,0.053755181526633694,0.12711080585533888,0.7303927109082697,4.7897142983688304e-17,1.1325874585333716e-16,0,0.7292257909463372,0.0,0.0,0,0,1.577420969725306,0.0299061725159747,0.07071686078617147,1.5200830341871967,0.0751679841745645,0.17774403827873358,0.3561000156402588,0.0513991015452679,0.12153956199408143,850,,"{'206': 0.10962545665073067, '313': 0.11173718960700504, '404': 0.10845071449978377, '46': 0.17140850568876195, '487': 0.11524072745195772, '935': 0.150538283339261, '946': 0.11441196889457696, '971': 0.11056109056540149}","{'206': 0.10962545665073067, '313': 0.11286423270551878, '404': 0.10845071449978377, '46': 0.17140850568876195, '487': 0.11524072745195772, '935': 0.150538283339261, '946': 0.11441196889457696, '971': 0.16676988577163296}",
8,0.6,Honest_HighestBidder,HighestBidder,0.5998439202609472,0.1851040685251709,0.4377015693952913,0.5998439202609472,0.1851040685251709,0.4377015693952913,1.3310790951209701,0.035066541892684454,0.08291919535851026,1.3310790951209701,0.035066541892684454,0.08291919535851026,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,31.809634184837343,3.156030507165092,7.462826274170911,850,,"{'971': 0.2775682142280399, '935': 0.0693786174999262, '487': 0.062102202066106296, '46': 0.09179927137181207, '313': 0.09057205938136559, '946': 0.342602582279235, '206': 0.18011766250004654, '404': 0.15863135619339308}","{'971': 0.2775682142280399, '935': 0.0693786174999262, '487': 0.062102202066106296, '46': 0.09179927137181207, '313': 0.09057205938136559, '946': 0.342602582279235, '206': 0.18011766250004654, '404': 0.15863135619339308}",
8,0.6,Integrated_Honest_LastDiminisher,Hor,0.14187031397529856,4.0550366944415644e-16,9.588638106413164e-16,0.14187031397529856,4.0550366944415644e-16,9.588638106413164e-16,0.14671000931771616,0.03752630003439229,0.08873559911201265,0.14671000931771616,0.03752630003439229,0.08873559911201265,-0.7500001896395995,1.3838080179054133e-17,3.2721859978816345e-17,0,-0.7947132881548893,0.010509490439496378,0.024850995958994024,0,0,-0.2259184503630702,0.06203339254746521,0.1466856643901778,-0.2259184503630702,0.06203339254746521,0.1466856643901778,-0.029665991988761086,0.05925694122292999,0.14012040025643216,850,,"{'206': 0.15221962356079835, '313': 0.1483821805822696, '404': 0.12924119167015435, '46': 0.1498082551697946, '487': 0.12544221452927307, '935': 0.13322090207969592, '946': 0.125, '971': 0.15255021722567585}","{'206': 0.15221962356079835, '313': 0.1483821805822696, '404': 0.12924119167015435, '46': 0.1498082551697946, '487': 0.12544221452927307, '935': 0.13322090207969592, '946': 0.125, '971': 0.15255021722567585}",
16,0.6,Honest_LastDiminisher,Hor,1.0,3.4922269008038487e-16,7.443505440708406e-16,1.0,3.4922269008038487e-16,7.443505440708406e-16,1.1712310102397054,0.02169893360546998,0.04625018217250091,1.1712310102397054,0.02169893360546998,0.04625018217250091,0.09129901960784315,6.958691073677511e-18,1.483209892667765e-17,0,0.07243708478903084,0.0035515617241303464,0.007569974622923512,0,0,1.243492526482145,0.06797485640330503,0.14488497679028473,1.243492526482145,0.06797485640330503,0.14488497679028473,1.0256084632873534,0.12453869248702511,0.2654479395060219,1650,,"{'108': 0.07864832722177634, '177': 0.0669938344093213, '341': 0.06270755845389614, '369': 0.06348935672433878, '434': 0.07340412543083895, '451': 0.06470172928966719, '504': 0.07761013741518587, '506': 0.07748545635623905, '577': 0.07791661409229357, '666': 0.07035333496907319, '720': 0.07770687036812567, '802': 0.06249999999999995, '808': 0.06290923172600432, '824': 0.07477056099029808, '852': 0.07956653754663233, '988': 0.07278623553600015}","{'108': 0.07864832722177634, '177': 0.0669938344093213, '341': 0.06270755845389614, '369': 0.06348935672433878, '434': 0.07340412543083895, '451': 0.06470172928966719, '504': 0.07761013741518587, '506': 0.07748545635623905, '577': 0.07791661409229357, '666': 0.07035333496907319, '720': 0.07770687036812567, '802': 0.06249999999999995, '808': 0.06290923172600432, '824': 0.07477056099029808, '852': 0.07956653754663233, '988': 0.07278623553600015}",
16,0.6,Assessor,Assessor,0.8673427529024436,0.005690350799559051,0.01212869562579327,0.8957048048379654,0.026763092671031084,0.057044181711431254,1.0106315579940865,0.04513725436238399,0.09620778029849893,1.2902563097310098,0.043134766756927484,0.09193957900186048,0.6845640944672089,5.607473066727768e-17,1.1952045919813044e-16,0,0.6825411268179914,0.0,0.0,0,0,1.67897525522293,0.009807878912573793,0.02090499905110628,1.6392327867887675,0.0405785708151271,0.08649117632334946,0.6150066709518432,0.05399088647492135,0.1150788504413161,1650,,"{'108': 0.055147589654165226, '177': 0.0635095582579164, '341': 0.05582062478163949, '369': 0.05472029564762985, '434': 0.05448075713748048, '451': 0.06761880104735084, '504': 0.09698660729544113, '506': 0.05742942859258887, '577': 0.05774883907707823, '666': 0.05773417600119823, '720': 0.054049904945441984, '802': 0.059455651056464484, '808': 0.0542927430405647, '824': 0.05587900869466446, '852': 0.058744368574085416, '988': 0.05402694400513207}","{'108': 0.055147589654165226, '177': 0.08750749749299773, '341': 0.08628177044871618, '369': 0.08350112357721073, '434': 0.06798587570835657, '451': 0.08768065231195477, '504': 0.09698660729544113, '506': 0.07969556113315134, '577': 0.05774883907707823, '666': 0.09395435997948152, '720': 0.08555515558053256, '802': 0.09453750194356553, '808': 0.08112261399112833, '824': 0.08932902591151155, '852': 0.09628249647609101, '988': 0.09114588183690021}",
16,0.6,Honest_HighestBidder,HighestBidder,0.43646987685526484,0.1635750018266082,0.3486518633081895,0.43646987685526484,0.1635750018266082,0.3486518633081895,1.4450061364199418,0.022059610621078377,0.04701894703351312,1.4450061364199418,0.022059610621078377,0.04701894703351312,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,62.180670680999754,5.780563155783134,12.320978711470927,1650,,"{'988': 0.09121457991196547, '852': 0.0586613150984751, '506': 0.11879472329489396, '666': 0.16240242105135408, '577': 0.06787532930788863, '451': 0.06286861669777237, '720': 0.07401784065591684, '108': 0.060754786913479394, '341': 0.13635049415117853, '177': 0.10535978794304104, '369': 0.16204630660763805, '434': 0.07581014996890786, '504': 0.02499777146350584, '802': 0.0747316452703488, '808': 0.09918272005337601, '824': 0.07062112091492861}","{'988': 0.09121457991196547, '852': 0.0586613150984751, '506': 0.11879472329489396, '666': 0.16240242105135408, '577': 0.06787532930788863, '451': 0.06286861669777237, '720': 0.07401784065591684, '108': 0.060754786913479394, '341': 0.13635049415117853, '177': 0.10535978794304104, '369': 0.16204630660763805, '434': 0.07581014996890786, '504': 0.02499777146350584, '802': 0.0747316452703488, '808': 0.09918272005337601, '824': 0.07062112091492861}",
16,0.6,Integrated_Honest_LastDiminisher,Hor,0.1529467406669822,3.4922269008038487e-16,7.443505440708406e-16,0.1529467406669822,3.4922269008038487e-16,7.443505440708406e-16,0.15890999145561868,0.02169893360546998,0.04625018217250091,0.15890999145561868,0.02169893360546998,0.04625018217250091,-0.8666318897737392,6.958691073677511e-18,1.483209892667765e-17,0,-0.8938714724389829,0.0035515617241303464,0.007569974622923512,0,0,-0.259374119651908,0.06797485640330503,0.14488497679028473,-0.259374119651908,0.06797485640330503,0.14488497679028473,0.6676379488697635,0.12453869248702511,0.2654479395060219,1650,,"{'108': 0.07864832722177634, '177': 0.0669938344093213, '341': 0.06270755845389614, '369': 0.06348935672433878, '434': 0.07340412543083895, '451': 0.06470172928966719, '504': 0.07761013741518587, '506': 0.07748545635623905, '577': 0.07791661409229357, '666': 0.07035333496907319, '720': 0.07770687036812567, '802': 0.06249999999999995, '808': 0.06290923172600432, '824': 0.07477056099029808, '852': 0.07956653754663233, '988': 0.07278623553600015}","{'108': 0.07864832722177634, '177': 0.0669938344093213, '341': 0.06270755845389614, '369': 0.06348935672433878, '434': 0.07340412543083895, '451': 0.06470172928966719, '504': 0.07761013741518587, '506': 0.07748545635623905, '577': 0.07791661409229357, '666': 0.07035333496907319, '720': 0.07770687036812567, '802': 0.06249999999999995, '808': 0.06290923172600432, '824': 0.07477056099029808, '852': 0.07956653754663233, '988': 0.07278623553600015}",
