4,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.03951823275518348,0.03470913320573031,0.017853463483246238,0.03951823275518348,0.03470913320573031,0.017853463483246238
FOCSEV,0.0253655603472664,0.02234506305229099,0.012339608302931411,0.0253655603472664,0.02234506305229099,0.012339608302931411
FOCSLE,0.04034764510614433,0.03557193241704102,0.020677926685525934,0.04034764510614433,0.03557193241704102,0.020677926685525934
FOCSAFR,0.03270235443819276,0.02878517274994779,0.013700168025270217,0.03270235443819276,0.02878517274994779,0.013700168025270217
FOCSUV,0.024491932818248623,0.02157701572268794,0.01202711605811967,0.024491932818248623,0.02157701572268794,0.01202711605811967

8,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.0487867430561429,0.04078077618918894,0.014265874470579249,0.0487867430561429,0.04078077618918894,0.014265874470579249
FOCSEV,0.03814958522941003,0.031823763269600513,0.017073559690788498,0.03814958522941003,0.031823763269600513,0.017073559690788498
FOCSLE,0.053920682580689105,0.04506643746495827,0.0246482440833363,0.053920682580689105,0.04506643746495827,0.0246482440833363
FOCSAFR,0.04025287307047549,0.03362429901667949,0.01405643878487549,0.04025287307047549,0.03362429901667949,0.01405643878487549
FOCSUV,0.03463304818096319,0.02890210853998157,0.013217400504182276,0.03463304818096319,0.02890210853998157,0.013217400504182276

16,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.05888449184904597,0.04750468681861282,0.01260373984647088,0.05888449184904597,0.04750468681861282,0.01260373984647088
FOCSEV,0.054487237801803305,0.04398882945327375,0.014235389603691527,0.054487237801803305,0.04398882945327375,0.014235389603691527
FOCSLE,0.05699948232734253,0.0460132800701126,0.014207048108800002,0.05699948232734253,0.0460132800701126,0.014207048108800002
FOCSAFR,0.05656645790164567,0.04567959100800612,0.014286236793338382,0.05656645790164567,0.04567959100800612,0.014286236793338382
FOCSUV,0.048831810130084585,0.03941161581014797,0.012794379716027681,0.048831810130084585,0.03941161581014797,0.012794379716027681

32,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.06695238265027513,0.05312964637271324,0.015180840547718953,0.06695238265027513,0.05312964637271324,0.015180840547718953
FOCSEV,0.06366547737625,0.05052541198075074,0.014992777356898801,0.06366547737625,0.05052541198075074,0.014992777356898801
FOCSLE,0.06891999278302448,0.05470073510403019,0.014326648256566342,0.06891999278302448,0.05470073510403019,0.014326648256566342
FOCSAFR,0.07772823151292214,0.06167395666807269,0.012408038799507153,0.07772823151292214,0.06167395666807269,0.012408038799507153
FOCSUV,0.0581512714700475,0.04612996340335248,0.014545843291314569,0.0581512714700475,0.04612996340335248,0.014545843291314569

64,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.07258803747035661,0.05637126262760538,0.015547174023206156,0.07258803747035661,0.05637126262760538,0.015547174023206156
FOCSEV,0.06671292886326702,0.0518091389674168,0.01605292038147976,0.06671292886326702,0.0518091389674168,0.01605292038147976
FOCSLE,0.07187171296958055,0.055813161831633075,0.015537671698677244,0.07187171296958055,0.055813161831633075,0.015537671698677244
FOCSAFR,0.06936295242168754,0.05386431145389485,0.014263440938641063,0.06936295242168754,0.05386431145389485,0.014263440938641063
FOCSUV,0.06030487134711397,0.04683437155214697,0.014908534259969203,0.06030487134711397,0.04683437155214697,0.014908534259969203

128,agents
Cut Pattern,pfAvg,pfAvg Improv(%),pfAvg stdev,pfMax,pfMax Improv(%),pfMax stdev
FOCSSFR,0.06849340528381836,0.05270465737346334,0.011527902454643463,0.06849340528381836,0.05270465737346334,0.011527902454643463
FOCSEV,0.063955254748417,0.04921397387736169,0.013114698124646006,0.063955254748417,0.04921397387736169,0.013114698124646006
FOCSLE,0.06795768998661728,0.05229323767975361,0.012323086697612616,0.06795768998661728,0.05229323767975361,0.012323086697612616
FOCSAFR,0.07648616424876016,0.05885488519399009,0.010136563307733337,0.07648616424876016,0.05885488519399009,0.010136563307733337
FOCSUV,0.05776674816304778,0.04445160833790204,0.011178854467263537,0.05776674816304778,0.04445160833790204,0.011178854467263537

